ranking_year,institute_id,institute_name,state,city,calendar_year,category,sub_category,value,unit
2024,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2020,Patents,Number of Patents Granted,15,value in Absolute Number
2024,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2022,Patents,Number of Patents Published,5,value in Absolute Number
2024,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2021,Patents,Number of Patents Published,5,value in Absolute Number
2024,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2020,Patents,Number of Patents Published,14,value in Absolute Number
2024,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2022,Patents,Number of Patents Granted,5,value in Absolute Number
2024,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2021,Patents,Number of Patents Granted,16,value in Absolute Number
2024,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2020,Patents,Number of Patents Granted,5,value in Absolute Number
2024,IR-O-U-0379,Lovely Professional University,,Phagwāra,2022,Patents,Number of Patents Published,941,value in Absolute Number
2024,IR-O-U-0379,Lovely Professional University,,Phagwāra,2021,Patents,Number of Patents Published,538,value in Absolute Number
2024,IR-O-U-0379,Lovely Professional University,,Phagwāra,2020,Patents,Number of Patents Published,610,value in Absolute Number
2024,IR-O-U-0379,Lovely Professional University,,Phagwāra,2022,Patents,Number of Patents Granted,65,value in Absolute Number
2024,IR-O-U-0379,Lovely Professional University,,Phagwāra,2021,Patents,Number of Patents Granted,75,value in Absolute Number
2024,IR-O-U-0379,Lovely Professional University,,Phagwāra,2020,Patents,Number of Patents Granted,20,value in Absolute Number
2024,IR-O-U-0078,Panjab University,,Chandigarh,2022,Patents,Number of Patents Published,34,value in Absolute Number
2024,IR-O-U-0078,Panjab University,,Chandigarh,2021,Patents,Number of Patents Published,31,value in Absolute Number
2024,IR-O-U-0078,Panjab University,,Chandigarh,2020,Patents,Number of Patents Published,18,value in Absolute Number
2024,IR-O-U-0078,Panjab University,,Chandigarh,2022,Patents,Number of Patents Granted,23,value in Absolute Number
2024,IR-O-U-0078,Panjab University,,Chandigarh,2021,Patents,Number of Patents Granted,19,value in Absolute Number
2024,IR-O-U-0078,Panjab University,,Chandigarh,2020,Patents,Number of Patents Granted,14,value in Absolute Number
2024,IR-O-U-0747,Chandigarh University,,Mohali,2022,Patents,Number of Patents Published,810,value in Absolute Number
2024,IR-O-U-0747,Chandigarh University,,Mohali,2021,Patents,Number of Patents Published,238,value in Absolute Number
2024,IR-O-U-0747,Chandigarh University,,Mohali,2020,Patents,Number of Patents Published,476,value in Absolute Number
2024,IR-O-U-0747,Chandigarh University,,Mohali,2022,Patents,Number of Patents Granted,24,value in Absolute Number
2024,IR-O-U-0747,Chandigarh University,,Mohali,2021,Patents,Number of Patents Granted,45,value in Absolute Number
2024,IR-O-U-0747,Chandigarh University,,Mohali,2020,Patents,Number of Patents Granted,22,value in Absolute Number
2024,IR-O-U-0109,Jawaharlal Nehru University,,New Delhi,2022,Patents,Number of Patents Published,25,value in Absolute Number
2024,IR-O-U-0109,Jawaharlal Nehru University,,New Delhi,2021,Patents,Number of Patents Published,16,value in Absolute Number
2024,IR-O-U-0109,Jawaharlal Nehru University,,New Delhi,2020,Patents,Number of Patents Published,3,value in Absolute Number
2024,IR-O-U-0109,Jawaharlal Nehru University,,New Delhi,2022,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0109,Jawaharlal Nehru University,,New Delhi,2021,Patents,Number of Patents Granted,1,value in Absolute Number
2024,IR-O-U-0109,Jawaharlal Nehru University,,New Delhi,2020,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0497,Amity University,Uttar Pradesh,Noida,2022,Patents,Number of Patents Published,78,value in Absolute Number
2024,IR-O-U-0497,Amity University,Uttar Pradesh,Noida,2021,Patents,Number of Patents Published,105,value in Absolute Number
2024,IR-O-U-0497,Amity University,Uttar Pradesh,Noida,2020,Patents,Number of Patents Published,79,value in Absolute Number
2024,IR-O-U-0497,Amity University,Uttar Pradesh,Noida,2022,Patents,Number of Patents Granted,69,value in Absolute Number
2024,IR-O-U-0497,Amity University,Uttar Pradesh,Noida,2021,Patents,Number of Patents Granted,52,value in Absolute Number
2024,IR-O-U-0497,Amity University,Uttar Pradesh,Noida,2020,Patents,Number of Patents Granted,28,value in Absolute Number
2024,IR-O-U-0108,Jamia Millia Islamia,Delhi,New Delhi,2022,Patents,Number of Patents Published,26,value in Absolute Number
