Idp;Institution;Country;Sector;Rank;Global Rank;Percentage;Percentile
26227;Harish Chandra Research Institute;IND;Government;219;3484;39.6;74
96387;ICAR Research Complex for Eastern Region;IND;Government;220;8535;39.78;74
26198;Chennai Mathematical Institute;IND;Universities;221;5748;39.96;74
3276;Cochin University of Science and Technology;IND;Universities;222;9183;40.14;74
3507;Visva-Bharati University;IND;Universities;223;8177;40.33;74
94678;APJ Abdul Kalam Technological University;IND;Universities;224;9141;40.51;74
3272;Chaudhary Charan Singh Haryana Agricultural University;IND;Universities;225;8029;40.69;74
3263;Birla Institute of Technology;IND;Universities;226;8815;40.87;75
80574;St Johns Medical College;IND;Universities;227;5878;41.05;75
26264;Indian Institute of Tropical Meteorology;IND;Government;228;7384;41.23;75
3241;Assam University;IND;Universities;229;8597;41.41;75
3462;Siksha O Anusandhan University;IND;Universities;230;8339;41.59;75
97094;KLE Technological University;IND;Universities;231;7927;41.77;75
3400;National Institute of Technology Silchar;IND;Universities;232;8088;41.95;75
80513;Regional Medical Research Centre, Bhubaneswar;IND;Health;233;4219;42.13;76
69263;Indian Grassland and Fodder Research Institute;IND;Government;234;9082;42.31;76
69337;Indian Institute of Petroleum;IND;Government;235;9306;42.5;76
3303;Govind Ballabh Pant University of Agriculture and Technology;IND;Universities;236;8327;42.68;76
3508;Visvesvaraya National Institute of Technology;IND;Universities;237;9281;42.86;76
3396;National Institute of Technology Calicut;IND;Universities;238;9433;43.04;76
3299;Gandhigram Rural Institute;IND;Universities;239;9058;43.22;76
26260;Indian Institute of Soil Sciences;IND;Government;240;9224;43.4;76
97072;Jaipuria Institute of Management;IND;Universities;241;7286;43.58;76
77741;Graphic Era University;IND;Universities;242;7454;43.76;76
94616;REVA University;IND;Universities;243;8522;43.94;76
3445;Shivaji University;IND;Universities;244;8689;44.12;76
96347;Central Potato Research Institute;IND;Government;245;8144;44.3;77
3423;Punjabi University;IND;Universities;246;8978;44.48;77
26378;National Remote Sensing Centre;IND;Government;247;9641;44.67;77
