ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2022-23,Amount received (INR),442548462.0,value in Rupees
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2021-22,Amount received (INR),436466319.0,value in Rupees
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2020-21,Amount received (INR),99813207.0,value in Rupees
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2022-23,Amount received (INR),68554178.0,value in Rupees
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2021-22,Amount received (INR),30426008.0,value in Rupees
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2020-21,Amount received (INR),18782923.0,value in Rupees
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2022-23,Number of sponsored projects,170.0,value in Absolute Number
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2021-22,Number of sponsored projects,163.0,value in Absolute Number
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2020-21,Number of sponsored projects,161.0,value in Absolute Number
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2022-23,Amount received (INR),156523142.0,value in Rupees
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2021-22,Amount received (INR),114230547.0,value in Rupees
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2020-21,Amount received (INR),104309305.0,value in Rupees
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2022-23,Amount received (INR),9719780.0,value in Rupees
2024,Overall,IR-O-U-0184,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2021-22,Amount received (INR),7402472.0,value in Rupees
