institution_id,openalex_id,canonical_name,scimago_idp,scimago_rank,scimago_global_rank,scimago_pct,scimago_percentile,scimago_q1_pct,scimago_year
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,I77501641,University of Kalyani,3483,385,9001,69.62,88.0,69.62,2019
ac895106-caa3-41c5-8959-084d58f9383c,I204743663,University of Mysore,3489,148,8178,26.76,64.0,26.76,2019
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I4210106490,All India Institute of Medical Sciences Bhopal,3232,7,710,1.27,14.0,1.27,2019
f7c6962b-4442-458c-90b7-eec41137a0d9,I98365261,"Indian Institute of Engineering Science and Technology, Shibpur",3253,281,9256,50.81,80.0,50.81,2019
38518a3c-9425-41d0-8068-2e2332a46de1,I129734738,All India Institute of Medical Sciences Raipur,3232,7,710,1.27,14.0,1.27,2019
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,I20497027,Cochin University of Science and Technology,3276,222,9183,40.14,74.0,40.14,2019
8a91aa93-1bba-4381-a03c-d032be364f69,I5847235,University of Petroleum and Energy Studies,79127,100,6784,18.08,57.0,18.08,2019
646437d3-b8bf-4df0-933f-437279dffc88,I61923386,Jawaharlal Institute of Post Graduate Medical Education and Research,26314,157,5761,28.39,67.0,28.39,2019
a6628147-0d10-4564-bae9-b8be8be7cd21,I42014448,Sardar Vallabhbhai National Institute of Technology Surat,96178,263,8694,47.56,78.0,47.56,2019
c9e12928-adad-470b-bcc3-a64f958bd34b,I76777374,Central University of Rajasthan,91905,129,8619,23.33,62.0,23.33,2019
8f79bb14-2687-41a1-a556-23a0a56f5210,I157674215,Presidency University,68786,248,7091,44.85,77.0,44.85,2019
9657935b-6b9b-4504-9bec-eb245e65da0f,I129862065,Government Medical College,80574,227,5878,41.05,75.0,41.05,2019
a216703f-5b10-44cb-8fe0-11f6ff1cd1bd,I155837530,National Institute of Technology Durgapur,71104,333,9331,60.22,84.0,60.22,2019
4aeb5e4d-7ee0-4ca2-a8ed-10cf13445ffc,I82571370,GLA University,91885,185,7689,33.45,70.0,33.45,2019
4aa00129-4c2f-4e57-9053-cbf0c58dd2c1,I135388327,University of Kashmir,3484,170,7173,30.74,69.0,30.74,2019
