institution_id,tier,inst_type,city,state,openalex_id,ror_id,total_works,match_confidence,is_hub,nirf_institute_id,nirf_rank,nirf_score,nirf_year,canonical_name,latitude,longitude,geo_source
aa83bbde-9db5-4ca5-ab64-f2cec6d6f46f,premier,IIT,Rupnagar,Punjab,I119241673,02qkhhn56,8219,manual,False,IR-O-U-0378,48,54.12,2024,Indian Institute of Technology Ropar,30.9659501,76.4729772,campus_indian_institute_of_technology_ropar
92004806-cba2-4966-9ebf-9f31bc5a9597,premier,IIT,Indore,Madhya Pradesh,I64295750,01hhf7w52,23705,manual,False,IR-O-U-0273,33,57.31,2024,Indian Institute of Technology Indore,22.5269276,75.9262066,campus_indian_institute_of_technology_indore
e98e91f3-ef30-41ea-b7e9-c708270266ba,premier,IIT,Mandi,Himachal Pradesh,I9579091,05r9r2f34,7864,manual,False,IR-O-U-0184,72,51.68,2024,Indian Institute of Technology Mandi,31.7063321,76.9385693,campus_indian_institute_of_technology_mandi
5f90b565-15b8-4035-ab58-963431c3275d,premier,IIT,Varanasi,Uttar Pradesh,I56404289,01kh5gc44,15500,manual,False,IR-O-U-0701,30,58.69,2024,Indian Institute of Technology (BHU) Varanasi,25.2621544,82.9925896,campus_indian_institute_of_technology_bhu_varan
f557894b-a324-439c-a6a7-f6d2a87a6bed,premier,IIT,Palakkad,Kerala,I4210113248,0264cg909,0,manual,False,IR-E-U-0878,64,50.24,2024,Indian Institute of Technology Palakkad,10.7905,76.6548,campus_iit_palakkad
7b3d00a5-49ca-420b-a758-0534ef4fedc2,premier,IIT,Tirupati,Andhra Pradesh,I4210109292,01xtkxh20,2965,manual,False,IR-E-U-0844,61,50.58,2024,Indian Institute of Technology Tirupati,13.712786,79.5899932,campus_indian_institute_of_technology_tirupati
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,premier,IIT,Dhanbad,Jharkhand,I189109744,013v3cc28,22164,manual,False,IR-O-U-0205,35,56.97,2024,Indian Institute of Technology (ISM) Dhanbad,23.7956,86.4302,campus_iit_dhanbad
732980be-8d6a-4c03-8a1c-dcd5b939e27f,premier,IIT,Bhilai,Chhattisgarh,I4210121466,02sscsx71,4158,manual,False,IR-E-U-0946,73,48.8,2024,Indian Institute of Technology Bhilai,21.254,81.554,campus_iit_bhilai
a2b7b421-2ef8-4071-80e7-dcafdc7c3ecf,premier,IIT,Goa,Goa,I4210112052,02v7trd43,1850,manual,False,,,,,Indian Institute of Technology Goa,15.4232905,73.9789313,campus_indian_institute_of_technology_goa
f6a0e07c-58dc-463e-8e04-d8d08a9a7342,premier,IIT,Jammu,Jammu and Kashmir,I4210127441,02f0vsw63,3667,manual,False,IR-E-U-0906,62,50.53,2024,Indian Institute of Technology Jammu,32.8022368,74.8913825,campus_indian_institute_of_technology_jammu
