institution_id,canonical_name,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
338f6c5e-2956-40cf-80ce-2047521fc9ef,"Birla Institute of Technology, Mesra",6.74,42,,2022-23,1.0
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,Sri Ramachandra Institute of Higher Education and Research,58.27,299,,2022-23,1.0
cb1e371e-ffd1-4175-974b-b91e8cbe4ea1,Galgotias University,0.41,27,,2022-23,1.0
20a76e3b-d397-44ea-a50b-42ad2940af51,Punjabi University,0.17,2,,2022-23,1.0
b2210d61-d364-40bd-abfa-2d7b5023d562,Shivaji University,,,,,
81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,SASTRA University,,,,,
36d17eae-f23d-4896-8bb8-848c7ba25547,Mangalore University,,,,,
149ca745-c80a-4eb3-97bd-36ad7d8e4b2b,Christian Medical College,133.72,576,,2022-23,1.0
5374b462-1d87-4026-a9dd-901a6e394a62,"Jawaharlal Nehru Technological University, Hyderabad",28.45,33,,2022-23,1.0
a281fcbb-f4c9-4634-9e3a-a1aa7b0c9321,Karpagam Academy of Higher Education,,,,,
73f788c8-33d5-4d60-9d7a-bb3fd5221d14,University of Kerala,,,,,
