inst_a,inst_b,openalex_a,openalex_b,year,weight,citation_weight
38518a3c-9425-41d0-8068-2e2332a46de1,131f1481-eede-4a15-a738-57b4c90b26ad,I129734738,I45294948,2016,4,399
38518a3c-9425-41d0-8068-2e2332a46de1,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I129734738,I63739035,2016,266,2462
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,131f1481-eede-4a15-a738-57b4c90b26ad,I4210106490,I45294948,2016,3,386
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I4210106490,I63739035,2016,266,2334
131f1481-eede-4a15-a738-57b4c90b26ad,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I45294948,I63739035,2016,47,1534
4d6717be-0714-4972-b1d4-571c58d9a46f,131f1481-eede-4a15-a738-57b4c90b26ad,I110166357,I45294948,2017,4,413
4d6717be-0714-4972-b1d4-571c58d9a46f,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I110166357,I63739035,2017,34,920
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,131f1481-eede-4a15-a738-57b4c90b26ad,I20107917,I45294948,2017,3,454
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I20107917,I63739035,2017,3,352
131f1481-eede-4a15-a738-57b4c90b26ad,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I45294948,I63739035,2017,59,1739
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,0e3df575-bd15-41f1-821e-51c48763aa57,I63739035,I68891433,2021,78,1910
646437d3-b8bf-4df0-933f-437279dffc88,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I61923386,I63739035,2016,28,780
646437d3-b8bf-4df0-933f-437279dffc88,d8caf76d-8ea5-44f6-939d-e450309d2de1,I61923386,I76414455,2016,5,512
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,d8caf76d-8ea5-44f6-939d-e450309d2de1,I63739035,I76414455,2016,9,553
131f1481-eede-4a15-a738-57b4c90b26ad,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I45294948,I63739035,2021,160,2944
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,0e3df575-bd15-41f1-821e-51c48763aa57,I63739035,I68891433,2020,57,1478
4d6717be-0714-4972-b1d4-571c58d9a46f,f755a6a4-7f5e-4286-a36e-f3db5550661d,I110166357,I154851008,2021,16,711
4d6717be-0714-4972-b1d4-571c58d9a46f,dc14b8e6-72b8-4c26-bec4-815435b7b8b7,I110166357,I152429107,2018,52,1964
4d6717be-0714-4972-b1d4-571c58d9a46f,5f90b565-15b8-4035-ab58-963431c3275d,I110166357,I56404289,2018,9,870
4d6717be-0714-4972-b1d4-571c58d9a46f,672214f6-22a9-4d55-8c6c-5b28a5159516,I110166357,I91357014,2018,28,1307
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,5f90b565-15b8-4035-ab58-963431c3275d,I152429107,I56404289,2018,7,852
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,672214f6-22a9-4d55-8c6c-5b28a5159516,I152429107,I91357014,2018,35,1301
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2018,578,12920
4d6717be-0714-4972-b1d4-571c58d9a46f,f520daa7-29f5-4b11-b9a4-9b02860351ec,I110166357,I863896202,2015,23,951
4d6717be-0714-4972-b1d4-571c58d9a46f,672214f6-22a9-4d55-8c6c-5b28a5159516,I110166357,I91357014,2021,54,1825
4d6717be-0714-4972-b1d4-571c58d9a46f,672214f6-22a9-4d55-8c6c-5b28a5159516,I110166357,I91357014,2020,54,1044
4d6717be-0714-4972-b1d4-571c58d9a46f,dc14b8e6-72b8-4c26-bec4-815435b7b8b7,I110166357,I152429107,2023,105,1129
4d6717be-0714-4972-b1d4-571c58d9a46f,0d9eda01-0613-4077-b69a-93861219bf67,I110166357,I59475050,2023,53,729
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,0d9eda01-0613-4077-b69a-93861219bf67,I152429107,I59475050,2023,23,576
4d6717be-0714-4972-b1d4-571c58d9a46f,dc14b8e6-72b8-4c26-bec4-815435b7b8b7,I110166357,I152429107,2019,59,1374
4d6717be-0714-4972-b1d4-571c58d9a46f,8f79bb14-2687-41a1-a556-23a0a56f5210,I110166357,I157674215,2016,20,640
4d6717be-0714-4972-b1d4-571c58d9a46f,18ae8c5a-a263-4906-9d6a-25bf48ed31e6,I110166357,I171210897,2017,7,565
4d6717be-0714-4972-b1d4-571c58d9a46f,129be347-f8df-4fd2-b553-37ff0fd31af1,I110166357,I94234084,2017,4,435
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,129be347-f8df-4fd2-b553-37ff0fd31af1,I171210897,I94234084,2017,10,447
4d6717be-0714-4972-b1d4-571c58d9a46f,b2210d61-d364-40bd-abfa-2d7b5023d562,I110166357,I141641110,2019,6,330
4d6717be-0714-4972-b1d4-571c58d9a46f,b2210d61-d364-40bd-abfa-2d7b5023d562,I110166357,I141641110,2022,29,639
4d6717be-0714-4972-b1d4-571c58d9a46f,f755a6a4-7f5e-4286-a36e-f3db5550661d,I110166357,I154851008,2022,22,534
b2210d61-d364-40bd-abfa-2d7b5023d562,f755a6a4-7f5e-4286-a36e-f3db5550661d,I141641110,I154851008,2022,5,346
4d6717be-0714-4972-b1d4-571c58d9a46f,1067ba73-ff68-46c5-b68e-4bf7cda57988,I110166357,I110360157,2018,8,472
4d6717be-0714-4972-b1d4-571c58d9a46f,b2d3eebd-0307-42ad-9f36-2a10b73de285,I110166357,I168893459,2020,9,359
4d6717be-0714-4972-b1d4-571c58d9a46f,f520daa7-29f5-4b11-b9a4-9b02860351ec,I110166357,I863896202,2021,53,968
4d6717be-0714-4972-b1d4-571c58d9a46f,8f79bb14-2687-41a1-a556-23a0a56f5210,I110166357,I157674215,2015,17,446
4d6717be-0714-4972-b1d4-571c58d9a46f,ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,I110166357,I99364266,2016,14,833
4d6717be-0714-4972-b1d4-571c58d9a46f,f520daa7-29f5-4b11-b9a4-9b02860351ec,I110166357,I863896202,2019,54,1203
62ed1d2c-52ae-4ba2-8c99-95f009b95972,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I24676775,I876193797,2015,25,1565
b49755e6-20af-465e-9c60-82974ede833a,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I36893310,I876193797,2016,3,738
74aaf314-5e8c-4cde-9333-83e97345070d,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I4076070,I876193797,2017,10,815
736be13b-21db-4757-bfac-35c77c891892,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I33585257,I876193797,2015,24,1039
f755a6a4-7f5e-4286-a36e-f3db5550661d,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I154851008,I876193797,2021,17,658
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I20107917,I876193797,2017,14,1448
49837a23-0599-4a35-a43f-15be413cc1a0,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I162827531,I876193797,2020,10,484
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I20107917,I876193797,2018,4,457
736be13b-21db-4757-bfac-35c77c891892,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I33585257,I876193797,2019,58,1847
736be13b-21db-4757-bfac-35c77c891892,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I33585257,I876193797,2020,90,2276
fd56c1b8-3390-4d13-9121-2b061d0b11ac,81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,I876193797,I932239252,2018,21,1169
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I111575329,I876193797,2016,6,352
736be13b-21db-4757-bfac-35c77c891892,47b972a6-fdf5-499c-a99f-fd0fedb15993,I33585257,I85461943,2016,14,856
736be13b-21db-4757-bfac-35c77c891892,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I33585257,I876193797,2016,25,775
47b972a6-fdf5-499c-a99f-fd0fedb15993,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I85461943,I876193797,2016,3,344
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I20107917,I876193797,2019,7,530
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,I20107917,I932239252,2019,5,481
fd56c1b8-3390-4d13-9121-2b061d0b11ac,81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,I876193797,I932239252,2019,32,1182
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,47b972a6-fdf5-499c-a99f-fd0fedb15993,I111575329,I85461943,2022,8,604
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I111575329,I876193797,2022,19,744
47b972a6-fdf5-499c-a99f-fd0fedb15993,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I85461943,I876193797,2022,81,1766
b45c2598-3515-4da1-9660-75a5ff4428fa,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I121750182,I876193797,2022,23,692
92004806-cba2-4966-9ebf-9f31bc5a9597,672214f6-22a9-4d55-8c6c-5b28a5159516,I64295750,I91357014,2019,23,2502
93e1f5b3-3c8f-4e18-a29b-afa586e5d865,672214f6-22a9-4d55-8c6c-5b28a5159516,I145286018,I91357014,2017,4,942
5f90b565-15b8-4035-ab58-963431c3275d,92004806-cba2-4966-9ebf-9f31bc5a9597,I56404289,I64295750,2015,11,1200
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2015,351,8930
92004806-cba2-4966-9ebf-9f31bc5a9597,672214f6-22a9-4d55-8c6c-5b28a5159516,I64295750,I91357014,2015,49,2338
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2019,732,18134
b2d3eebd-0307-42ad-9f36-2a10b73de285,672214f6-22a9-4d55-8c6c-5b28a5159516,I168893459,I91357014,2016,19,1727
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2016,450,11028
b2d3eebd-0307-42ad-9f36-2a10b73de285,672214f6-22a9-4d55-8c6c-5b28a5159516,I168893459,I91357014,2015,19,1901
0e011302-5676-4cf1-95b3-f0adc82f6893,672214f6-22a9-4d55-8c6c-5b28a5159516,I51317819,I91357014,2017,271,4057
0e011302-5676-4cf1-95b3-f0adc82f6893,672214f6-22a9-4d55-8c6c-5b28a5159516,I51317819,I91357014,2020,386,4658
0e011302-5676-4cf1-95b3-f0adc82f6893,672214f6-22a9-4d55-8c6c-5b28a5159516,I51317819,I91357014,2018,279,4288
f520daa7-29f5-4b11-b9a4-9b02860351ec,672214f6-22a9-4d55-8c6c-5b28a5159516,I863896202,I91357014,2019,4,529
b49755e6-20af-465e-9c60-82974ede833a,672214f6-22a9-4d55-8c6c-5b28a5159516,I36893310,I91357014,2022,20,660
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,5f90b565-15b8-4035-ab58-963431c3275d,I1317621060,I56404289,2020,11,608
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,672214f6-22a9-4d55-8c6c-5b28a5159516,I1317621060,I91357014,2020,13,783
edf10c4c-ca24-4805-b33c-ddf5428d22ff,5f90b565-15b8-4035-ab58-963431c3275d,I16292982,I56404289,2018,9,530
edf10c4c-ca24-4805-b33c-ddf5428d22ff,672214f6-22a9-4d55-8c6c-5b28a5159516,I16292982,I91357014,2018,11,619
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,672214f6-22a9-4d55-8c6c-5b28a5159516,I1317621060,I91357014,2021,15,885
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,672214f6-22a9-4d55-8c6c-5b28a5159516,I189109744,I91357014,2016,5,521
