institution_id,canonical_name,academic_year,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,Thapar Institute of Engineering & Technology,2017-18,9.081,59,,2017-18,1.0
52ef5836-d1be-4182-9b45-218b36478268,Institute of Chemical Technology,2017-18,4.41,153,,2017-18,1.0
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,Guru Nanak Dev University,2017-18,6.04,73,,2017-18,1.0
c1a7591c-a5be-413d-bcfb-050692c5edef,Tamil Nadu Agricultural University,2017-18,90.911,490,,2022-23,1.0
74aaf314-5e8c-4cde-9333-83e97345070d,Bharathidasan University,2017-18,4.732,38,,2017-18,1.0
d653d230-8e4e-4388-b50b-790fea6d666f,National Institute of Technology Karnataka,2017-18,22.586,126,,2017-18,0.95
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,Bharathiar University,2017-18,35.254,48,,2017-18,1.0
b45c2598-3515-4da1-9660-75a5ff4428fa,National Institute of Technology Warangal,2017-18,5.12,81,,2017-18,1.05
5f71086b-ce24-4741-89c7-c8583ab5948c,Dr. Hari Singh Gour University,2017-18,,,,,
d538b33b-7df6-426d-a326-e6336207fb5f,Sri Venkateswara University,2017-18,28.655,21,,2017-18,1.0
eee22ec4-aa39-45b3-95e0-7f6250924a00,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,2017-18,0.911,20,,2022-23,1.0
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,King George's Medical University,2017-18,21.76,243,,2017-18,1.0
7693ea92-ef4b-486f-96c6-89db3749c43e,GITAM University,2017-18,,0,,2022-23,0.95
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,Punjab Agricultural University,2017-18,127.313,480,,2022-23,1.0
104fe323-87bc-48e9-a752-22b34af999bb,University of Lucknow,2017-18,13.543,140,,2022-23,1.05
cb03a5e5-b2f5-4e95-af9f-a170aab03713,Indian Association for the Cultivation of Science,2017-18,,,,,
d601a25e-5d3b-4d71-aa65-699b49346b71,Bharati Vidyapeeth Deemed University,2017-18,7.559,97,,2017-18,1.0
b2d3eebd-0307-42ad-9f36-2a10b73de285,University of Allahabad,2017-18,,,,,
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,University of Kalyani,2017-18,,,,,
ac895106-caa3-41c5-8959-084d58f9383c,University of Mysore,2017-18,28.129,84,,2017-18,0.95
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,All India Institute of Medical Sciences Bhopal,2017-18,14.12,144,,2022-23,1.05
d56d1ee4-862c-4274-8441-c2db9590627d,"G.S. Science, Arts And Commerce College",2017-18,,,,,
f7c6962b-4442-458c-90b7-eec41137a0d9,"Indian Institute of Engineering Science and Technology, Shibpur",2017-18,5.541,53,,2017-18,1.0
38518a3c-9425-41d0-8068-2e2332a46de1,All India Institute of Medical Sciences Raipur,2017-18,5.406,71,,2022-23,1.05
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,Cochin University of Science and Technology,2017-18,19.511,121,,2017-18,1.0
8a91aa93-1bba-4381-a03c-d032be364f69,University of Petroleum and Energy Studies,2017-18,1.3,14,,2017-18,0.95
646437d3-b8bf-4df0-933f-437279dffc88,Jawaharlal Institute of Post Graduate Medical Education and Research,2017-18,15.995,119,,2022-23,1.0
a6628147-0d10-4564-bae9-b8be8be7cd21,Sardar Vallabhbhai National Institute of Technology Surat,2017-18,3.142,80,,2017-18,0.95
c9e12928-adad-470b-bcc3-a64f958bd34b,Central University of Rajasthan,2017-18,0.616,10,,2022-23,1.0
8f79bb14-2687-41a1-a556-23a0a56f5210,Presidency University,2017-18,,,,,
